Dam Name,Other Names,NID ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Outlet Gate Type,Data Last Updated,Inspection Frequency,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,Has Photo?,damid,LegacyNumb,DCR_Watershed_SqMi,SVI_TotalPop_InZone,SVI_Pop_POV150,SVI_Pop_AGE65,SVI_Pop_DISABL,SVI_Pop_NOVEH,DCR_EP_Status,Inspection_Date_Final,Condition_Final,Hazard_Final,In Fathom 100yr Flood Zone,In Fathom 500yr Flood Zone,D1_Hazard_Score,Needs_Hazard_Classification,D2_Flood_Score,D3_Watershed_Score,D4_Impact_Score,D5_DataQuality_Score,Triage_Score,Priority_Band
Prince Edward County Dam # 13,147dd020,VA147049,VA147049,,Not Listed,Not Listed,0,No,,,,Virginia,147049,37.1267,-78.427,Prince Edward,Farmville,12.5,Bush River,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,20,,,20,Less than 25 feet,375,,,Undetermined,95.68,95.68,60,10,1.25,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3392,14750,1.24726224,3312,840,574,439,45,<Null>,,Not Rated,Unknown,1,1,46.79,1,75,72.64,80.63,84.25,69.41,High
Stone Dam,,VA085029,VA085029,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,85029,37.7913,-77.6741,Hanover,Richmond,21.7,trib. Wolf Swamp,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,15,,,15,Less than 25 feet,,,,Undetermined,58,58,,,0.1,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,803,8529,0.100651316,6184,455,1032,544,0,<Null>,,Not Rated,Unknown,1,1,45.2,1,75,20.26,73.95,84.25,54.58,High
Watkins Road Dam,,VA085082,VA085082,,Not Listed,Not Listed,0,No,,,,Virginia,85082,37.732,-77.7405,Hanover,Richmond,21.3,trib. Mill Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,17,,,17,Less than 25 feet,,,,Undetermined,69,69,,,1.23,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2293,8582,1.23131371,4345,466,1040,458,15,<Null>,,Not Rated,Unknown,1,1,45.84,1,75,72.49,78.86,84.25,68.78,High
Lanier-Davis Dam,,VA159007,VA159007,,Not Listed,Not Listed,0,No,USDA NRCS,Other,Other;Recreation,Virginia,159007,37.8134,-76.6131,Richmond,Tappahannock,15.3,Lancaster Creek,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,10,,,10,Less than 25 feet,400,,,Undetermined,89,89,,,1.25,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,1687,15907,1.25303221,5502,1198,1224,784,147,<Null>,,Not Rated,Unknown,1,1,44.19,1,75,72.76,88.76,84.25,70.41,High
Graveyard Pasture Pond,,VA145055,VA145055,,Not Listed,Not Listed,0,No,,,,Virginia,145055,37.6253,-77.8401,Powhatan,Richmond,22.9,trib. James River,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,36,,,36,25-50 feet,,,,Undetermined,66,66,,,0.19,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,1563,14555,0.18649517,1969,61,180,43,0,<Null>,,Not Rated,Unknown,0,0,48.61,1,0,32.05,56.17,84.25,39.82,Moderate
Harrells Dam,,VA183007,VA183007,Danny Allen,Private,Private,0,No,,Recreation,Recreation,Virginia,183007,36.7762,-77.3921,Sussex,Emporia,0,POPLAR SWAMP,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,10,,,10,Less than 25 feet,,,,Undetermined,169,169,95,,13.71,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2578,18307,14.3498859,2678,753,584,463,104,<Null>,,Not Rated,Unknown,1,1,44.88,1,75,95.69,81.63,84.25,74.89,High
King William County Dam #5,101dd025,VA101041,VA101041,,Not Listed,Not Listed,0,No,,,,Virginia,101041,37.777,-77.3069,King William,Richmond,17.8,Hornquarter Creek,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,14,,,14,Less than 25 feet,650,,,Undetermined,201.47,201.47,78.44,21.2,4.08,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3283,10141,4.08554363,5275,881,777,622,101,<Null>,,Not Rated,Unknown,1,1,46.28,1,75,87.43,85.6,84.25,73.97,High
Baileys Dam,,VA003153,VA003153,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,3153,38.0597,-78.4455,Albemarle,Charlottesville,2.7,Trib.  Rivanna River,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,31,,,31,25-50 feet,250,,,Undetermined,110,110,55,,0.22,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,1845,332,0.640797853,3014,74,615,186,0,<Null>,,Not Rated,Unknown,0,0,48.59,1,0,59.53,63.5,84.25,48.16,Moderate
Rosemont Dam,,VA003081,VA003081,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,3081,38.025,-78.6083,Albemarle,Charlottesville,7.2,trib. Ivy Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,39,,,39,25-50 feet,,,,Undetermined,80,80,,,0.17,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,1746,119,,3859,356,739,395,17,<Null>,,Not Rated,Unknown,0,0,49.12,1,0,29.84,77.05,84.25,43.58,Moderate
Garners Dam,,VA081006,VA081006,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,81006,36.5554,-77.6712,Greensville,Emporia,0,BEAVER POND CREEK,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,10,,,10,Less than 25 feet,,,,Undetermined,84,84,21,,15.23,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/26/2022,No,No,722,8106,15.2216272,4656,1484,960,751,163,<Null>,,Not Rated,Unknown,1,1,44.13,1,75,96.04,88.38,84.25,76.14,Critical
Dongola Dam,,VA109073,VA109073,,Not Listed,Not Listed,0,No,,Fish and Wildlife Pond,Fish and Wildlife Pond,Virginia,109073,37.7613,-77.8554,Louisa,Louisa,19.7,trib. Jones Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,23,,,23,Less than 25 feet,,,,Undetermined,73,73,,,0.04,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2347,10973,0.040292174,6401,840,1172,942,126,<Null>,,Not Rated,Unknown,0,0,47.03,1,0,10.01,88.32,84.25,40.35,Moderate
Healys Dam,,VA119001,VA119001,Delaware Corporation,Private,Private,0,No,,Recreation,Recreation,Virginia,119001,37.5649,-76.503,Middlesex,Williamsburg,0,HEALYS CREEK,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,15,,,15,Less than 25 feet,,,,Undetermined,350,350,170,,3.28,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,,,0.039787881,,,,,,,,Not Rated,Unknown,1,1,47.12,1,75,6.38,0,84.25,36.8,Moderate
Longwalk Dam,,VA075050,VA075050,,Not Listed,Not Listed,0,No,,,,Virginia,75050,37.7147,-77.9965,Goochland,Louisa,21.2,trib. Little Lickinghole Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,28,,,28,25-50 feet,,,,Undetermined,120,120,,,0.3,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,685,7550,0.304530621,5774,806,897,676,68,<Null>,,Not Rated,Unknown,1,1,48.29,1,75,42.34,85.23,84.25,63.13,High
King and Queen County Dam #5,097dd086,VA097027,VA097027,,Not Listed,Not Listed,0,No,,,,Virginia,97027,37.6132,-76.7743,King and Queen,Tappahannock,22,Tastine Swamp,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,27,,,27,25-50 feet,,,,Undetermined,25,25,21.3,2.5,,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,3259,9727,,2832,760,723,428,40,<Null>,,Not Rated,Unknown,0,0,46.5,1,0,50,79.92,84.25,48.53,Moderate
Ivy Wolf Farm Dam,01900dd304,VA019115,VA019115,,Not Listed,Not Listed,,No,,,,Virginia,19115,37.3818,-79.2846,Bedford,Lynchburg,8.1,Ivy Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,29,,,29,25-50 feet,,,,Undetermined,38.16,38.16,24,2.61,0.19,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,2839,567,0.186455145,8034,792,1588,739,155,<Null>,,Not Rated,Unknown,0,0,47.21,1,0,32.01,89.59,84.25,46.15,Moderate
Hopco LLC Dam,08900dd253,VA089050,VA089050,Hopco LLC,Private,Private,0,No,,Recreation,Recreation,Virginia,89050,36.7949,-79.7344,Henry,Martinsville,10.5,Machine Creek,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,28,,,28,25-50 feet,275,,,Undetermined,42.68,42.68,30.6,3.4,0.53,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,1431,477,0.530857205,3826,798,793,626,41,<Null>,,Not Rated,Unknown,1,1,47.2,1,75,55.03,82.15,84.25,65.41,High
John Edward Dam,01900dd002,VA019026,VA019026,Quinn Revocable Living Trust,Private,Private,,No,,,,Virginia,19026,37.0484,-79.4905,Bedford,Rocky Mount,22.4,Howell Creek,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,17,,,17,Less than 25 feet,,,,Undetermined,102.88,102.88,,4.5,2.2,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,1433,479,2.19504738,2794,437,1354,547,25,<Null>,,Not Rated,Unknown,1,1,46.27,1,75,80.21,79.08,84.25,70.86,High
Ca Ira Dam,,VA049010,VA049010,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,49010,37.4804,-78.3227,Cumberland,Farmville,0,WILLIS RIVER,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Gravity,Gravity,,,13,,,13,Less than 25 feet,,,,Undetermined,227,227,176,,115.82,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,413,4910,115.837128,3967,686,834,666,137,<Null>,,Not Rated,Unknown,1,1,46.13,1,75,99.22,84.89,84.25,76.74,Critical
King William County Dam #11,101dd100,VA101047,VA101047,,Not Listed,Not Listed,0,No,,,,Virginia,101047,37.6216,-76.9856,King William,Tappahannock,22.1,Old Town Creek,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,23,,,23,Less than 25 feet,300,,,Undetermined,200.28,200.28,63.36,13.2,0.39,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3289,10147,0.386161953,2654,481,378,313,30,<Null>,,Not Rated,Unknown,1,1,48.1,1,75,47.85,75.97,84.25,62.61,High
Old Grays Dam,,VA033023,VA033023,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,33023,38.0316,-77.421,Caroline,Fredericksburg,3.25,MAYS RUN,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,14,,,14,Less than 25 feet,800,,,Undetermined,179,179,,11.4,4.41,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,317,3323,4.41193962,2326,728,608,417,52,<Null>,,Not Rated,Unknown,0,1,46.15,1,40,88.28,79.3,84.25,65.89,High
Vineyard Drive Dam,,VA075058,VA075058,,Not Listed,Not Listed,0,No,,,,Virginia,75058,37.7502,-78.1317,Goochland,Louisa,20.1,trib. James River,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,18,,,18,Less than 25 feet,,,,Undetermined,152,152,,,,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,693,7558,,4498,418,926,604,32,<Null>,,Not Rated,Unknown,1,1,46.9,1,75,50,80.73,84.25,63.8,High
Wilsons Dam,,VA049008,VA049008,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,49008,37.3432,-78.3154,Cumberland,Farmville,16,TR-BROWN BRANCH,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,23,,,23,Less than 25 feet,,,,Undetermined,172,172,53,,0.69,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,411,4908,0.693050265,2369,363,572,418,62,<Null>,,Not Rated,Unknown,1,1,47.94,1,75,61.47,77.86,84.25,66.35,High
Craghead Dam,01900dd061,VA019056,VA019056,"Jennings L. ""Pete"" and Margie P. Craighead",Private,Private,,No,,,,Virginia,19056,37.1944,-79.5926,Bedford,Roanoke,19.9,Stony Fork,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,22,,,22,Less than 25 feet,400,,,Undetermined,55,55,41,5.7,0.23,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,1469,495,0.197517514,2575,502,712,419,56,<Null>,,Not Rated,Unknown,1,1,46.56,1,75,32.91,79.19,84.25,59.13,High
Bobby Payne Dam,061dd292,VA061061,VA061061,"PAYNE, BOBBY R JR & LAURA C",Private,Private,0,No,,,,Virginia,61061,38.5581,-77.6361,Fauquier,Warrenton,14.2,Furrs Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,25,,,25,25-50 feet,320,,,Undetermined,104.84,104.84,63.84,7.6,0.12,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2552,6163,0.123874731,3900,433,620,456,18,<Null>,,Not Rated,Unknown,1,1,47.72,1,75,23.67,77.67,84.25,56.81,High
Paige Road Dam,,VA033064,VA033064,,Not Listed,Not Listed,0,No,,,,Virginia,33064,38.0596,-77.3599,Caroline,Fredericksburg,17.7,trib. Mattaponi River,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,35,,,35,25-50 feet,500,,,Undetermined,91,91,,,0.12,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2041,3364,0.120637007,3367,636,837,394,175,<Null>,,Not Rated,Unknown,1,1,48.84,1,75,23.48,83.61,84.25,58.23,High
Baylors Dam,,VA057008,VA057008,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,57008,38.1063,-77.0692,Essex,Tappahannock,17.1,TR-RAPPAHANNOCK RIVER,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,14,,,14,Less than 25 feet,,,,Undetermined,332,332,86,,11.53,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,446,5708,11.5380487,3609,1190,908,511,21,<Null>,,Not Rated,Unknown,0,1,46.81,1,40,94.84,81.31,84.25,68.1,High
King William County Dam #9,101dd079,VA101045,VA101045,,Not Listed,Not Listed,0,No,,,,Virginia,101045,37.6976,-76.9976,King William,Tappahannock,17.5,Mattaponi River,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,16,,,16,Less than 25 feet,210,,,Undetermined,67.21,67.21,41.4,9.2,1.08,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3287,10145,1.08328211,2654,481,378,313,30,<Null>,,Not Rated,Unknown,1,1,45.59,1,75,70.51,75.97,84.25,67.64,High
Perkins Dam,,VA053010,VA053010,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,53010,37.0672,-77.4326,Dinwiddie,Petersburg,1,TR-ROWANTY CREEK,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,12,,,12,Less than 25 feet,,,,Undetermined,69,69,17,,2.69,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/26/2022,No,No,429,5310,2.68719172,2420,284,493,226,0,<Null>,,Not Rated,Unknown,1,1,44.58,1,75,82.85,66.11,84.25,68.5,High
Prince Edward County Dam # 10,147dd016,VA147046,VA147046,,Not Listed,Not Listed,0,No,,,,Virginia,147046,37.2127,-78.5079,Prince Edward,Farmville,8.8,Buffalo Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,22,,,22,Less than 25 feet,350,,,Undetermined,98.64,98.64,78.96,9.4,0.99,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3389,14747,0.992122054,3476,357,466,445,58,<Null>,,Not Rated,Unknown,1,1,47.18,1,75,69.07,78.8,84.25,68.25,High
Fox Run Dam,,VA101031,VA101031,,Not Listed,Not Listed,0,No,,,,Virginia,101031,37.8296,-77.2119,King William,Tappahannock,20.5,trib. Herring Creek,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,19,,,19,Less than 25 feet,,,,Undetermined,91,91,,,0.26,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,970,10131,0.263089836,6441,548,1037,750,42,<Null>,,Not Rated,Unknown,0,0,46.55,1,0,39.15,84.02,84.25,46.65,Moderate
Collins Lower Dam,,VA049033,VA049033,"Harold W. Collins, Sr.",Private,Private,0,No,,Recreation,Recreation,Virginia,49033,37.4755,-78.2548,Cumberland,Farmville,0,Tear Wallet Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,23,,,23,Less than 25 feet,,,,Undetermined,139,139,,,0.5,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2186,4933,0.501765311,2369,363,572,418,62,<Null>,,Not Rated,Unknown,0,0,47.71,1,0,53.63,77.86,84.25,49.33,Moderate
Beaufont Spring Dam,,VA041077,VA041077,,Not Listed,Not Listed,0,No,,,,Virginia,41077,37.5078,-77.5311,Chesterfield,Richmond,5.7,trib. Powhite Creek,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,33,,,33,25-50 feet,,,,Undetermined,139,139,,,0.21,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2152,4177,0.206335515,2511,1019,198,358,25,Development,,Not Rated,"High, Prelim",0,0,79.07,0,0,33.64,76.32,84.25,51.87,High
Freemans Dam,,VA183002,VA183002,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,183002,36.948,-76.9558,Sussex,Suffolk,0,TR-SEACOCK SWAMP,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,12,,,12,Less than 25 feet,,,,Undetermined,305,305,65,,2.77,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/26/2022,No,No,2573,18302,2.76553559,1969,407,273,250,81,<Null>,,Not Rated,Unknown,1,1,46.16,1,75,82.96,75.64,84.25,70.83,High
Mt. Bernard Dam,,VA075002,VA075002,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,75002,37.6662,-77.8534,Goochland,Richmond,24.4,COURTHOUSE CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Concrete,Concrete,,,16,,,16,Less than 25 feet,,,,Undetermined,240,240,160,,13.47,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,637,7502,13.4760904,4942,235,996,457,13,<Null>,,Not Rated,"Low, Prelim",1,1,36.75,0,75,95.46,77.17,84.25,71.91,High
Fords Dam,,VA075071,VA075071,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,75071,37.6848,-77.719,Goochland,Richmond,18.4,trib.  Tuckahoe Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,19,,,19,Less than 25 feet,,,,Undetermined,165,165,,,0.23,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2218,7571,0.230449542,3868,257,1248,569,94,<Null>,,Not Rated,Unknown,1,1,47.18,1,75,36.13,81.85,84.25,60.62,High
Spring Lake Dam,,VA033087,VA033087,,Not Listed,Not Listed,0,No,,,,Virginia,33087,38.2307,-77.27,Caroline,Fredericksburg,11.5,trib. Lake Holiday,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,31,,,31,25-50 feet,,,,Undetermined,25,25,,,0.1,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2064,3387,0.095689729,5348,382,755,591,69,<Null>,,Not Rated,Unknown,0,0,47.03,1,0,19.25,82.45,84.25,41.48,Moderate
Binford Dam,,VA149011,VA149011,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,149011,37.1525,-77.2081,Prince George,Hopewell,0,CATTAIL CREEK,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,11,,,11,Less than 25 feet,,,,Undetermined,64,64,16,,4.15,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/26/2022,No,No,1623,14911,4.14624262,4258,511,1098,477,85,<Null>,,Not Rated,Unknown,1,1,44.18,1,75,87.66,83.14,84.25,73.01,High
Amherst County Dam # 1,009dd001,VA009034,VA009034,,Not Listed,Not Listed,0,No,,Fish and Wildlife Pond,Fish and Wildlife Pond,Virginia,9034,37.7843,-79.2516,Amherst,Lexington,10.4,Big Branch,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,28,,,28,25-50 feet,,,,Undetermined,30.91,30.91,18,2.2,0.88,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,3006,934,0.878267467,4885,1392,1110,652,85,<Null>,,Not Rated,Unknown,1,1,46.86,1,75,66.32,86.88,84.25,69.1,High
Turner Family Dam,,VA131016,VA131016,Turner Family Limited Partnership,Private,Private,0,No,,Recreation,Recreation,Virginia,131016,37.3762,-75.8941,Northampton,Hampton,34.5,Mattawoman Creek,"Virginia, Congressional District 02",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,11,,,11,Less than 25 feet,350,,,Undetermined,64.77,64.77,38.63,10.73,0.65,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3346,13116,,3691,1130,808,585,109,<Null>,,Not Rated,Unknown,0,1,44.2,1,40,59.76,85.06,84.25,59.43,High
Wincott Dam,,VA075045,VA075045,,Private,Private,0,No,,Fish and Wildlife Pond,Fish and Wildlife Pond,Virginia,75045,37.7347,-77.8803,Goochland,Louisa,20.9,trib. Courthouse Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,15,,,15,Less than 25 feet,700,,,Undetermined,165,165,,,0.33,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,680,7545,0.33340174,5774,806,897,676,68,Approved,9/26/2025 0:00,Fair,Significant,1,1,56.51,0,75,44.59,85.23,55.5,62.87,High
Harrington Dam,,VA019017,VA019017,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,19017,37.4793,-79.2278,Bedford,Lynchburg,3,WIDE MOUTH CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,20,,,20,Less than 25 feet,,,,Undetermined,54,54,29,,1.75,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,170,1917,1.74568391,7814,936,1316,648,15,<Null>,,Not Rated,Unknown,0,0,46.19,1,0,77.49,83.97,84.25,56.14,High
Bethany Dam,,VA109065,VA109065,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,109065,37.9055,-77.7705,Louisa,Louisa,14.9,trib.  Hawkins Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,23,,,23,Less than 25 feet,500,,,Undetermined,99,99,,,0.25,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2339,10965,0.251286983,6401,840,1172,942,126,<Null>,,Not Rated,Unknown,0,0,47.35,1,0,37.83,88.32,84.25,47.38,Moderate
Burch Mill Dam,,VA119005,VA119005,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,119005,37.6854,-76.6451,Middlesex,Tappahannock,20.1,LAGRANGE CREEK,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,15,,,15,Less than 25 feet,,,,Undetermined,169,169,25,,3.07,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,1206,11905,3.0708673,1734,230,514,256,11,<Null>,,Not Rated,Unknown,1,1,46.34,1,75,84.56,70.48,84.25,70.25,High
