Dam Name,Other Names,NID ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Outlet Gate Type,Data Last Updated,Inspection Frequency,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,Has Photo?,damid,LegacyNumb,DCR_Watershed_SqMi,SVI_TotalPop_InZone,SVI_Pop_POV150,SVI_Pop_AGE65,SVI_Pop_DISABL,SVI_Pop_NOVEH,DCR_EP_Status,Inspection_Date_Final,Condition_Final,Hazard_Final,In Fathom 100yr Flood Zone,In Fathom 500yr Flood Zone,D1_Hazard_Score,Needs_Hazard_Classification,D2_Flood_Score,D3_Watershed_Score,D4_Impact_Score,D5_DataQuality_Score,Triage_Score,Priority_Band
Abbott Road Pond Dam,14300dd397,VA143061,VA143061,Samuel C Terry III,Private,Private,0,No,,Irrigation,Irrigation,Virginia,143061,36.7817,-79.2833,Pittsylvania,Danville,14.9,Sprinng and runoff fed,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,25,,,25,25-50 feet,390,,,Undetermined,40,40,30,3.4,0.12,,,,,12/4/2022,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/9/2021,No,No,1412,14361,0.123773262,1596,532,451,288,28,<Null>,,Not Rated,Unknown,1,1,46.7,1,75,23.63,74.38,68.25,54.28,High
Clifton Farm Lower Dam,,VA061016,VA061016,Clifton Institute,Private,Private,0,No,USDA NRCS,Irrigation,Irrigation;Recreation,Virginia,61016,38.7796,-77.7984,Fauquier,Warrenton,6,TR-Cedar Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,20,,,20,Less than 25 feet,350,,,Undetermined,62.3,62.3,38.6,9.9,0.48,,,,,12/4/2022,3,Yes,9/26/2012,https://damsafety.org/virginia,Not Applicable,5/18/2022,No,No,539,6117,0.903871059,2631,186,697,316,13,Archive,11/4/2025 0:00,Satisfactory,Significant,1,1,56.54,0,75,66.98,72.83,28,63.25,High
Lake Idylwild Dam,West Pond Dam,VA085020,VA085020,Lake Idylwild Owners Association,Private,Private,0,No,,Recreation,Recreation,Virginia,85020,37.6323,-77.2243,Hanover,Richmond,0.04,MATADEQUIN CREEK,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,25,,,25,25-50 feet,180,,,Undetermined,1000,1000,486,61,10.5,,,,,12/4/2022,3,Yes,3/20/2020,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",3/9/2021,No,No,794,8520,10.474165,3434,317,897,401,0,Approved,11/15/2023 0:00,Satisfactory,Significant,1,1,60.34,0,75,94.37,69.98,34.5,71.12,High
Tarara Winery Dam,,VA107111,VA107111,Tarara Farm LLC,Private,Private,0,No,,Water Supply,Water Supply;Recreation,Virginia,107111,39.2379,-77.4813,Loudoun,Leesburg,0.1,Un-named tributary to Potomac River.,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,60,,,60,51-100 feet,337,,,Undetermined,312.6,312.6,215.5,9.8,0.13,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,202,299,0.126317456,7843,171,990,468,41,<Null>,,Not Rated,Unknown,0,0,52.22,1,0,23.98,80.65,84.25,43.6,Moderate
Pond Lick Branch Dam,Mountain Lake,VA005002,VA005002,Robin Vocus,Private,Private,0,No,,Recreation,Recreation,Virginia,5002,37.7341,-80.0294,Alleghany,Covington,0,POND LICK BRANCH,"Virginia, Congressional District 06",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,29,,,29,25-50 feet,,,,Undetermined,20,20,15,2,1.17,,,,,12/4/2022,6,Yes,4/5/2011,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,1937,502,1.16971231,2212,488,590,406,41,Archive,,Not Rated,"Low, Special",1,1,36.34,0,75,71.71,77.43,64.25,63.92,High
Parsleys Mill Dam,Beaties Dam,VA085007,VA085007,Parsley Mill Pondowners Assoc,Private,Private,,No,,Recreation,Recreation,Virginia,85007,37.6038,-77.2261,Hanover,Richmond,0.1,PARSLEYS CREEK,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,12,12,12,12,Less than 25 feet,,,,Undetermined,149,149,3.8,4,3.62,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,781,8507,3.6195631,3434,317,897,401,0,<Null>,,Not Rated,Unknown,1,1,45.39,1,75,86.11,69.98,84.25,70.3,High
Reynolds Run,,VA033123,VA033123,Fort Walker,Federal,Federal,0,No,Army,Recreation,Recreation;Fish and Wildlife Pond,US Army,VA033123,38.08858,-77.354341,Caroline,Bowling Green,3,Reynolds Run,"Virginia, Congressional District 07",No,No,,No,No,No,Yes,No,,Earth,Earth,Earth,Unlisted/Unknown,10,,10,10,Less than 25 feet,150,,,Undetermined,55.85,55.85,,12,,,,0,Uncontrolled,4/15/2024,4,Yes,8/1/2014,https://www.army.mil/,,,No,No,3579,<Null>,,5348,382,755,591,69,Archive,8/20/2014 0:00,Poor,Significant,1,1,53.9,0,75,50,82.45,67.5,64.22,High
Powell Farm Dam,,VA083029,VA083029,Barbara Bagwell & Mary Bagwell,Private,Private,0,No,USDA NRCS,Recreation,Recreation;Irrigation,Virginia,83029,36.7735,-78.8428,Halifax,South Boston,0,TR-BANNISTER RIVER,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,27,,,27,25-50 feet,,,,Undetermined,95,95,32,,0.6,,,,,12/4/2022,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/9/2021,No,No,754,8329,0.602190554,4120,974,977,605,128,<Null>,,Not Rated,Unknown,0,0,47.91,1,0,58.01,85.89,68.25,50.48,High
Drinkard Dam,011dd039,VA011008,VA011008,"DRINKARD, STEVEN A",Private,Private,0,No,USDA NRCS,Recreation,Recreation;Fish and Wildlife Pond,Virginia,11008,37.3907,-78.7458,Appomattox,Appomattox,4.4,Unnamed tributary to Wolf Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,32,,,32,25-50 feet,,,,Undetermined,24.9,24.9,24.6,2.2,0.06,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,3019,1108,0.064988613,4021,1379,777,633,68,<Null>,,Not Rated,Unknown,1,1,47.14,1,75,14.59,84.88,84.25,55.83,High
Louisa H.S. Dam,,VA109046,VA109046,"Taylor, Peter R., TRS for Peter R. Taylor TR",Private,Private,0,No,,,,Virginia,109046,38.0148,-77.9222,Louisa,Louisa,4.2,trib. Northeast Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,21,,,21,Less than 25 feet,,,,Undetermined,61,61,,,0.18,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,1147,10946,0.183379143,4781,500,1037,735,48,<Null>,,Not Rated,Unknown,1,1,46.5,1,75,31.55,82.96,84.25,59.53,High
