Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian,Dam Status,Deleted Reason,Has Photo?,FEMA_Flood_Zone,FEMA_Zone_Subtype,FEMA_In_SFHA,Flood_Risk_Category,Snap_Distance_m,NHD_Snap_Flag,NHD_Snap_Source,NHD_River_Name,NHD_Permanent_ID,HUC8_Code,HUC8_Name,HUC12_Code,HUC12_Name,Valid_Snap,County_Population
Edgehill Dam #7,,,VA003101,,VA003101,Albemarle Edgehill Farm Llc,Private,Private,0.0,No,,,,,Virginia,3101,38.0307,-78.4065,Virginia,Albemarle,,,trib. Barn Branch,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,27.0,,,27,25-50 feet,,,,Undetermined,,38.0,38.0,,,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,22.7460874249463,OK,WATERBODY,,66114386,2080204.0,Rivanna,20802040404.0,Carroll Creek-Rivanna River,True,112513
Little Anna Dam,,,VA109063,,VA109063,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,109063,38.0051,-77.7072,Virginia,Louisa,,,trib.  North Anna River,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,18.0,,,18,Less than 25 feet,,,,Undetermined,,66.0,66.0,,,0.26,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.0,OK,WATERBODY,,65101833,2080106.0,Pamunkey,20801060802.0,Hawkins Creek-North Anna River,True,38106
New Little River Dam,,,VA085091,,VA085091,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,85091,37.9063,-77.622,Virginia,Hanover,,,trib. Little River,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,18.0,,,18,Less than 25 feet,700.0,,,Undetermined,,79.0,79.0,,,0.18,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,28.95652392351401,OK,WATERBODY,,65102655,2080106.0,Pamunkey,20801060702.0,Lower Little River,True,110513
Paines Dam,Carrsbrook East,,VA003132,,VA003132,Carrsbrook Homeowners Assoc.,Private,Private,0.0,No,USDA NRCS,,Recreation,Recreation,Virginia,3132,38.0948,-78.4586,Virginia,Albemarle,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,,Earth,Earth,,,30.0,,,30,25-50 feet,,,,Undetermined,,100.0,100.0,,,0.41,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,5.4831851659648345,OK,FLOWLINE,,66105494,2080204.0,Rivanna,20802040203.0,South Fork Rivanna River,True,112513
High Street Swm,,,VA095047,,VA095047,,Not Listed,Not Listed,0.0,No,,,Flood Risk Reduction,Flood Risk Reduction,Virginia,95047,37.2854,-76.7262,Virginia,Williamsburg,,,trib.  College Creek,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,28.0,,,28,25-50 feet,,,,Undetermined,,25.0,25.0,,,0.06,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,38.55043842951958,OK,FLOWLINE,College Creek,135632869,2080206.0,Lower James,20802060801.0,College Creek,True,15486
Burruss Dam,,,VA009017,,VA009017,Mark A. & Pamela T. Turner;RSB Properties,Private,Private,0.0,No,,,Recreation,Recreation,Virginia,9017,37.5773,-79.2892,Virginia,Amherst,,3.0,CEDAR CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,20.0,,,20,Less than 25 feet,,,,Undetermined,,95.0,95.0,51.0,3.0,1.49,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,True,High,0.4233237810409546,OK,WATERBODY,Cedar Creek,39949960,2080203.0,Middle James-Buffalo,20802030202.0,Browns Creek-Pedlar River,True,31426
Second Branch Road Dam,,,VA041084,,VA041084,,Not Listed,Not Listed,0.0,No,,,Fish and Wildlife Pond,Fish and Wildlife Pond,Virginia,41084,37.3306,-77.6318,Virginia,Chesterfield,,,trib.  Second Branch,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,26.0,,,26,25-50 feet,,,,Undetermined,,86.0,86.0,,,0.32,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,10.436381067835336,OK,WATERBODY,,{95896B78-CEEC-48D8-BF27-5567FDA8C32A},2080207.0,Appomattox,20802070903.0,Second Branch-Licking Creek,True,366019
Richmond Country Club Dams (4),,,VA075043,,VA075043,,Not Listed,Not Listed,0.0,No,,,,,Virginia,75043,37.613,-77.684,Virginia,Goochland,,,trib. Broad Branch,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,20.0,,,20,Less than 25 feet,,,,Undetermined,,77.0,77.0,,,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,AE,FLOODWAY,True,High,0.0,OK,WATERBODY,,62588538,2080205.0,Middle James-Willis,20802050605.0,Tuckahoe Creek,True,24906
Claycomb Dam,,,VA083033,,VA083033,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,83033,36.6416,-78.9426,Virginia,Halifax,,0.0,TR-ROWIE BR. STOKES CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,23.0,,,23,Less than 25 feet,,,,Undetermined,,69.0,69.0,28.0,,0.05,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,1.0520336186467576,OK,WATERBODY,Bowle Spring Branch,49587360,3010104.0,Lower Dan,30101040403.0,Stokes Creek-Lawsons Creek,True,34013
Penola East Six Dam,,,VA033095,,VA033095,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,33095,37.9893,-77.3792,Virginia,Caroline,,,trib.  Mattaponi R,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,27.0,,,27,25-50 feet,500.0,,,Undetermined,,248.0,248.0,,,1.81,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,No Data,,False,Unknown,0.0457693326796319,OK,WATERBODY,,61385251,2080105.0,Mattaponi,20801050205.0,Campbell Creek-Mattaponi River,True,31181
Whelans Dam,,,VA149003,,VA149003,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,149003,37.2046,-77.061,Virginia,Prince George,,1.0,TR-UPPER CHIPPOKES CREEK,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,18.0,,,18,Less than 25 feet,,,,Undetermined,,358.0,358.0,111.0,,0.42,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/26/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,20.11424285662885,OK,WATERBODY,Whelans Pond,135653967,2080206.0,Lower James,20802060303.0,Upper Chippokes Creek,True,42634
Trappe Hill Farm Dam,107dd144,,VA107124,,VA107124,SMART FAMILY LTD PARTNERSHIP II TRAPPE HILL FARM,Private,Private,0.0,No,,,,,Virginia,107124,39.0594,-77.8637,Virginia,Loudoun,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,28.0,,,28,25-50 feet,,,,Undetermined,,24.64,24.64,16.0,1.7,1.34,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,A,,True,High,12.966410049597371,OK,FLOWLINE,Jeffries Branch,4157c4bf-c074-4785-9800-0a1b13bc6438,2070008.0,Middle Potomac-Catoctin,20700080503.0,Panther Skin Creek,True,420773
Custis Dam,,,VA101002,,VA101002,Custis Hunting & Fishing Club,Private,Private,0.0,No,,,Recreation,Recreation,Virginia,101002,37.6092,-76.8697,Virginia,King William,,,Bull Swamp,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,12.0,,,12,Less than 25 feet,800.0,,,Undetermined,,308.0,308.0,,,7.35,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,True,High,24.471975328792396,OK,WATERBODY,Custis Pond,61384433,2080105.0,Mattaponi,20801050603.0,Heartquake Creek-Mattaponi River,True,17845
Lower Dover Farm Dam,,,VA075092,,VA075092,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,75092,37.6353,-77.7586,Virginia,Goochland,,,trib. James River,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,18.0,,,18,Less than 25 feet,,,,Undetermined,,119.0,119.0,,,0.27,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,7.815617351867823,OK,WATERBODY,,{C66B8D56-8EF1-4439-8E6C-AE5E6F3F83FD},2080205.0,Middle James-Willis,20802050603.0,Little River-James River,True,24906
Harlow Farm Dam,,,VA079010,,VA079010,Elaine Greims,Private,Private,0.0,No,,,Recreation,Recreation,Virginia,79010,38.1983,-78.3769,Virginia,Greene,,0.0,TR-Preddy Creek,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,19.0,,,19,Less than 25 feet,300.0,,,Undetermined,,64.0,64.0,42.0,,0.41,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.0,OK,WATERBODY,Harlow Farm Pond,66113230,2080204.0,Rivanna,20802040304.0,Preddy Creek,True,20631
Cohoke Mill Dam,,,VA101004,,VA101004,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,101004,37.5809,-76.9479,Virginia,King William,,,COHOKE MILL CREEK,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,9.0,,,9,Less than 25 feet,1100.0,,,Undetermined,,723.0,723.0,183.0,,16.28,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,13.678341676553677,OK,WATERBODY,Cohoke Millpond,65105747,2080106.0,Pamunkey,20801061101.0,Cohoke Mill Creek-Pamunkey River,True,17845
Fluvanna Ruritan Dam,,,VA065002,,VA065002,Virginia Department of Wildlife Resources,State,State,0.0,No,"A. Morton Thomas and Associates, Inc.",,Recreation,Recreation,Virginia,65002,37.8903,-78.3723,Virginia,Fluvanna,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,43.0,,,43,25-50 feet,790.0,,,Undetermined,,1500.0,1500.0,890.0,60.0,1.49,,,,,,,,,,12/4/2022,3/4/2021,1.0,High,Poor,3/4/2021,Yes,3/31/2015,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",4/7/2021,No,,Active,,No,No Data,,False,Unknown,0.0,OK,WATERBODY,Fluvanna Ruritan Lake,66115354,2080204.0,Rivanna,20802040502.0,Cunningham Creek,True,27442
Upper Dover Farm Dam,,,VA075091,,VA075091,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,75091,37.6384,-77.7578,Virginia,Goochland,,,trib. James River,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,23.0,,,23,Less than 25 feet,250.0,,,Undetermined,,110.0,110.0,,,0.17,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,5.412144296703856,OK,WATERBODY,,{E51B45CC-02A5-45C1-8BBF-79BCD73D9241},2080205.0,Middle James-Willis,20802050603.0,Little River-James River,True,24906
Glen Tara Dam,,,VA041083,,VA041083,Swift Creek Associates Llc,Private,Private,0.0,No,,,Recreation,Recreation,Virginia,41083,37.4173,-77.621,Virginia,Chesterfield,,,Nuttree Branch,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Masonry,Masonry,,,15.0,,,15,Less than 25 feet,,,,Undetermined,,149.0,149.0,,,5.71,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,AE,FLOODWAY,True,High,15.525003539799716,OK,WATERBODY,Nuttree Branch,61495339,2080207.0,Appomattox,20802070902.0,Third Branch-Swift Creek,True,366019
Former Tivette Farm Dam,,,VA033114,,VA033114,,Not Listed,Not Listed,0.0,No,,,Fish and Wildlife Pond,Fish and Wildlife Pond,Virginia,33114,37.9923,-77.6221,Virginia,Caroline,,,trib. No. Anna River,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,15.0,,,15,Less than 25 feet,500.0,,,Undetermined,,83.0,83.0,,,0.8,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,True,High,13.133814695948962,OK,FLOWLINE,,65071089,2080106.0,Pamunkey,20801060802.0,Hawkins Creek-North Anna River,True,31181
Mink Creek Dam,,,VA003173,,VA003173,Town of Scottsville,Local Government,Local Government,0.0,No,,,Flood Risk Reduction,Flood Risk Reduction,Virginia,3173,37.8022,-78.4942,Virginia,Albemarle,,0.1,MINK CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,39.0,39.0,39.0,39,25-50 feet,286.0,,,Undetermined,,226.0,226.0,30.0,3.5,0.92,,,,,,,,,,12/4/2022,11/8/2022,1.0,High,Fair,11/8/2022,Yes,10/26/2020,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,15.144577134632677,OK,WATERBODY,Mink Creek,{D1B73620-B083-4B72-AFEF-EAD551B56BCD},2080203.0,Middle James-Buffalo,20802031104.0,Little George Creek-James River,True,112513
Kimco Dam,,,VA003111,,VA003111,"Kimco, LC",Private,Private,0.0,No,,,Recreation,Recreation,Virginia,3111,37.8983,-78.4017,Virginia,Albemarle,,,trib. No. Fork Cunningham Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,22.0,,,22,Less than 25 feet,,,,Undetermined,,77.0,77.0,53.0,7.0,0.31,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,No Data,,False,Unknown,25.226138061305864,OK,WATERBODY,,66115342,2080204.0,Rivanna,20802040502.0,Cunningham Creek,True,112513
Franklin County Parks and Recreation Dam,06700dd134,,VA067030,,VA067030,Franklin County,Local Government,Local Government,0.0,No,,,Recreation,Recreation,Virginia,67030,36.931,-79.8546,Virginia,Franklin,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,29.0,,,29,25-50 feet,270.0,,,Undetermined,,40.02,40.02,29.4,3.2,0.07,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,23.483656154768333,OK,WATERBODY,,{E8FFA106-7615-4BDD-99D7-48DA055BF91B},3010101.0,Upper Roanoke,30101010803.0,Big Chestnut Creek,True,63032
Mcfall Fork Dam,,,VA195020,,VA195020,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,195020,37.1248,-82.5585,Virginia,Wise,,2.0,TR-POUND RIVER,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,24.0,,,24,Less than 25 feet,,,,Undetermined,,60.0,60.0,,,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,227891.53556163455,INVALID,NONE,,,5070202.0,Upper Levisa,50702020502.0,Indian Creek-Pound River,False,36105
Elliotts Dam,Dejarnette Pond,,VA033018,,VA033018,"Maracossic, LLC",Private,Private,0.0,No,,,Recreation,Recreation,Virginia,33018,38.0354,-77.3135,Virginia,Caroline,,0.02,MARACOSSIC CREEK,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,14.0,,,14,Less than 25 feet,350.0,,,Undetermined,,454.0,454.0,,67.0,12.75,,,,,,,,,,12/4/2022,9/12/2022,,Undetermined,Satisfactory,9/12/2022,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,True,High,0.2328213084093965,OK,WATERBODY,Elliots Pond,61382567,2080105.0,Mattaponi,20801050401.0,Jacks Creek-Maracossic Creek,True,31181
Madison Mill Dam,Mason Millpond Dam,,VA099007,,VA099007,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,99007,38.287,-77.1509,Virginia,King George,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,17.0,,,17,Less than 25 feet,,,,Undetermined,,83.0,83.0,,,6.07,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,True,High,6.650062029825293,OK,WATERBODY,Mason Millpond,54019974,2070011.0,Lower Potomac,20700110601.0,Upper Machodoc Creek,True,26985
West Pond @ Shellhorn Dam,,,VA109070,,VA109070,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,109070,38.1191,-78.1264,Virginia,Louisa,,,trib. Negro Run,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,20.0,,,20,Less than 25 feet,,,,Undetermined,,58.0,58.0,,,0.37,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,3.8721249181423247,OK,WATERBODY,,{56E3F915-2F5C-49F6-890D-5B9416B58173},2080106.0,Pamunkey,20801060401.0,Mountain Run-North Anna River,True,38106
Old Bennett Farm Dam,,,VA143067,,VA143067,Lynellen  Beuter,Private,Private,0.0,No,,,,,Virginia,143067,36.9298,-79.3836,Virginia,Pittsylvania,,,spring and runoff fed,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,26.0,,,26,25-50 feet,240.0,,,Undetermined,,29.0,29.0,18.0,2.3,0.17,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.0,OK,WATERBODY,,120023876,3010105.0,Banister,30101050201.0,Mill Creek-Whitehorn Creek,True,60541
Amherst County Dam # 9,009dd031,,VA009046,,VA009046,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,9046,37.5546,-79.0485,Virginia,Amherst,,,Higginbotham Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,21.0,,,21,Less than 25 feet,525.0,,,Undetermined,,138.26,138.26,50.59,10.54,3.25,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,No Data,,False,Unknown,2.4946068228320586,OK,FLOWLINE,Higginbotham Creek,{D76C83DD-7101-4F1A-83B2-6882DDFF6922},2080203.0,Middle James-Buffalo,20802030603.0,Rutledge Creek,True,31426
Clarks Mill Dam,,,VA133002,,VA133002,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,133002,37.9321,-76.4678,Virginia,Northumberland,,,TR-COAN RIVER,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,20.0,,,20,Less than 25 feet,450.0,,,Undetermined,,138.0,138.0,68.0,,1.95,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,True,High,6.281509116973298,OK,WATERBODY,Clark Millpond,54022570,2070011.0,Lower Potomac,20700110805.0,Coan River,True,12007
Penola East Five Dam,,,VA033094,,VA033094,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,33094,37.9865,-77.3812,Virginia,Caroline,,,trib.  Mattaponi R,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,23.0,,,23,Less than 25 feet,,,,Undetermined,,147.0,147.0,,,0.03,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,No Data,,False,Unknown,7.061429059819169,OK,FLOWLINE,,61365939,2080105.0,Mattaponi,20801050205.0,Campbell Creek-Mattaponi River,True,31181
Four Locusts Dam,,,VA037014,,VA037014,"G. O. Pettus, Jr.",Private,Private,0.0,No,,,Recreation,Recreation,Virginia,37014,37.0679,-78.4849,Virginia,Charlotte,,1.0,SPRING CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,24.0,,,24,Less than 25 feet,,,,Undetermined,,163.0,163.0,129.0,,0.27,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,6/18/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,1.5832387559991234,OK,FLOWLINE,,150395022,3010102.0,Middle Roanoke,30101020501.0,Spring Creek-Roanoke Creek,True,11563
First Branch Dam,,,VA041046,,VA041046,"Highlands Community Assoc., Inc",Private,Private,0.0,No,,,Recreation,Recreation,Virginia,41046,37.3416,-77.5338,Virginia,Chesterfield,,,FIRST BRANCH,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,40.0,,,40,25-50 feet,495.0,,,Undetermined,,1100.0,1100.0,700.0,52.0,4.54,,,,,,,,,,12/4/2022,11/24/1998,3.0,Significant,Not Rated,11/24/1998,Yes,3/11/2005,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",3/10/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,6.893577495329744,OK,WATERBODY,First Branch,61495969,2080207.0,Appomattox,20802070903.0,Second Branch-Licking Creek,True,366019
Warrenton Lake Dam,,,VA061032,,VA061032,Ronald Wegemer,Private,Private,0.0,No,,,Recreation,Recreation,Virginia,61032,38.7393,-77.7739,Virginia,Fauquier,,1.0,TR-Cedar Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,24.0,,,24,Less than 25 feet,370.0,,,Undetermined,,112.0,112.0,46.0,9.0,0.6,,,,,,,,,,7/6/2023,2/10/2023,1.0,High,Fair,2/10/2023,Yes,2/10/2021,https://damsafety.org/virginia,Enforcement Pending/Ongoing,1/28/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,2.406893301832873,OK,WATERBODY,,46567907,2070010.0,Middle Potomac-Anacostia-Occoquan,20700100601.0,Mill Run-Cedar Run,True,73290
