Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian,Dam Status,Deleted Reason,Has Photo?,FEMA_Flood_Zone,FEMA_Zone_Subtype,FEMA_In_SFHA,Flood_Risk_Category
Fluvanna County Dam #2,065dd013,,VA065031,,VA065031,,Not Listed,Not Listed,0,No,,,,,Virginia,65031,37.8905,-78.403,Virginia,Fluvanna,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,26,,,26,25-50 feet,280,,,Undetermined,,180.6,180.6,76,10,1.38,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,No Data,,FALSE,Unknown
Chelsea Dam,,,VA101025,,VA101025,,Not Listed,Not Listed,0,No,,,Irrigation,Irrigation,Virginia,101025,37.5992,-76.8334,Virginia,King William,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,12,,,12,Less than 25 feet,,,,Undetermined,,99,99,,,0.55,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,AE,,TRUE,High
Zastwony Dam,,,VA083043,,VA083043,Fred Zastwony,Private,Private,0,No,,,Irrigation,Irrigation,Virginia,83043,36.5502,-79.12,Virginia,Halifax,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,21,,,21,Less than 25 feet,450,,,Undetermined,,119,119,71,9.93,0.53,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Lancaster County Dam #2,103dd012,,VA103009,,VA103009,,Not Listed,Not Listed,0,No,,,,,Virginia,103009,37.7633,-76.4144,Virginia,Lancaster,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,17,,,17,Less than 25 feet,350,,,Undetermined,,98.01,98.01,58.52,13.3,0.99,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,No Data,,FALSE,Unknown
Goffigon Dam,,,VA131009,,VA131009,William Scott,Private,Private,0,No,,,Irrigation,Irrigation,Virginia,131009,37.2436,-75.9413,Virginia,Northampton,,0,,"Virginia, Congressional District 02",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,10,,,10,Less than 25 feet,,,,Undetermined,,134,134,,,1.75,,,,,,,,,,12/4/2022,3/16/2022,,Undetermined,Satisfactory,3/16/2022,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Jaloway Dam,,,VA083051,,VA083051,David Jaloway,Private,Private,0,No,,,Irrigation,Irrigation,Virginia,83051,36.5907,-78.7308,Virginia,Halifax,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,20,,,20,Less than 25 feet,190,,,Undetermined,,60,60,25,3.6,0.37,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Nelson County Dam #2,125dd006,,VA125016,,VA125016,,Not Listed,Not Listed,0,No,,,,,Virginia,125016,37.8778,-79.1463,Virginia,Nelson,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,41,,,41,25-50 feet,300,,,Undetermined,,39.03,39.03,29.6,2,0.08,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Spotsylvania County Dam #2,177dd006,,VA177029,,VA177029,,Not Listed,Not Listed,0,No,,,,,Virginia,177029,38.3386,-77.6973,Virginia,Spotsylvania,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,27,,,27,25-50 feet,400,,,Undetermined,,94.72,94.72,68.4,7.6,0.18,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,No Data,,FALSE,Unknown
Amelia County Dam # 2,007dd002,,VA007031,,VA007031,,Not Listed,Not Listed,0,No,,,,,Virginia,7031,37.4057,-78.2043,Virginia,Amelia,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,25,,,25,25-50 feet,400,,,Undetermined,,114.46,114.46,72,9,0.41,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Whitakers Dam,,,VA007009,,VA007009,Ralph Whitaker,Private,Private,0,No,,,Irrigation,Irrigation,Virginia,7009,37.2965,-77.9983,Virginia,Amelia,,0,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,30,,,30,25-50 feet,325,,,Undetermined,,33,33,,,0.14,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,6/18/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Lakeside Lake,,,VA069020,,VA069020,Frederick County,Local Government,Local Government,0,No,,,Recreation,Recreation,Virginia,69020,39.1013,-78.1906,Virginia,Frederick,,0,,"Virginia, Congressional District 06",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,21,,,21,Less than 25 feet,,,,Undetermined,,63.22,63.22,52.68,8.09,0.1,,,,,,,,,,12/4/2022,,,High,Not Rated,,No,,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Hughes Dam,,,VA083070,,VA083070,Marianne Hughes,Private,Private,0,No,,,Irrigation,Irrigation,Virginia,83070,36.8554,-78.9638,Virginia,Halifax,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,18,,,18,Less than 25 feet,,,,Undetermined,,50,50,26,4.3,0.24,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/9/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Landis Dam,,,VA049030,,VA049030,Henry Landis,Private,Private,0,No,,,Irrigation,Irrigation,Virginia,49030,37.3923,-78.2669,Virginia,Cumberland,,0,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,35,,,35,25-50 feet,,,,Undetermined,,73,73,,,0.18,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/9/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Spotsylvania County Dam #3,177dd007,,VA177030,,VA177030,,Not Listed,Not Listed,0,No,,,,,Virginia,177030,38.3348,-77.7171,Virginia,Spotsylvania,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,23,,,23,Less than 25 feet,180,,,Undetermined,,124.38,124.38,84.36,11.1,1.06,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,TRUE,High
Marshall Creek Dam,,,VA193009,,VA193009,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,193009,38.0591,-76.7361,Virginia,Westmoreland,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,10,,,10,Less than 25 feet,,,,Undetermined,,62,62,,,2.62,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Amelia County Dam # 3,007dd003,,VA007035,,VA007035,,Not Listed,Not Listed,0,No,,,,,Virginia,7035,37.4003,-78.2063,Virginia,Amelia,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,24,,,24,Less than 25 feet,520,,,Undetermined,,164.64,164.64,124.03,15.2,0.59,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,TRUE,High
Mackey Dam,,,VA003106,,VA003106,,Not Listed,Not Listed,0,No,,,,,Virginia,3106,38.0217,-78.325,Virginia,Albemarle,,,trib. Mechunk Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,28,,,28,25-50 feet,,,,Undetermined,,55,55,,,0.1,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Seth Corp Dam,145dd024,,VA145063,,VA145063,Seth Corporation,Private,Private,0,No,,,,,Virginia,145063,37.6229,-77.9563,Virginia,Powhatan,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,27,,,27,25-50 feet,,,,Undetermined,,33.39,33.39,25.4,2.7,0.08,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Amelia County Dam # 12,007dd015,,VA007023,,VA007023,,Not Listed,Not Listed,0,No,,,,,Virginia,7023,37.443,-77.8949,Virginia,Amelia,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,27,,,27,25-50 feet,325,,,Undetermined,,90.72,90.72,66.74,7.1,0.35,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Nelson County Dam #8,125dd041,,VA125022,,VA125022,,Not Listed,Not Listed,,No,,,,,Virginia,125022,37.7361,-79.0282,Virginia,Nelson,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,23,,,23,Less than 25 feet,,,,Undetermined,,57.78,57.78,46.8,5.5,0.11,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Mocomp Dam #1,18500dd031,,VA185011,,VA185011,,Not Listed,Not Listed,,No,,,,,Virginia,185011,37.1035,-81.3766,Virginia,Tazewell,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,33,,,33,25-50 feet,,,,Undetermined,,54.91,54.91,49.2,4.1,0.13,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Westmoreland County Dam #3,193dd054,,VA193017,,VA193017,,Not Listed,Not Listed,0,No,,,,,Virginia,193017,38.1414,-76.7583,Virginia,Westmoreland,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,11,,,11,Less than 25 feet,350,,,Undetermined,,82.72,82.72,60.16,18.8,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,AE,,TRUE,High
Amelia County Dam # 5,007dd006,,VA007037,,VA007037,,Not Listed,Not Listed,0,No,,,,,Virginia,7037,37.3513,-78.1875,Virginia,Amelia,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,23,,,23,Less than 25 feet,550,,,Undetermined,,199.64,199.64,152,20,0.94,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Spotsylvania County Dam #11,177dd122,,VA177038,,VA177038,,Not Listed,Not Listed,0,No,,,,,Virginia,177038,38.1554,-77.5537,Virginia,Spotsylvania,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,32,,,32,25-50 feet,300,,,Undetermined,,100.3,100.3,65.09,5.71,0.09,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Qst LLC Dam,069dd033,,VA069037,,VA069037,QST LLC,Private,Private,0,No,,,,,Virginia,69037,39.1799,-78.3281,Virginia,Frederick,,,,"Virginia, Congressional District 06",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,25,,,25,25-50 feet,485,,,Undetermined,,120.74,120.74,64.38,8.7,1.33,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,No Data,,FALSE,Unknown
Fluvanna County Dam #10,065dd057,,VA065028,,VA065028,,Not Listed,Not Listed,0,No,,,,,Virginia,65028,37.8106,-78.3111,Virginia,Fluvanna,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,18,,,18,Less than 25 feet,350,,,Undetermined,,67.97,67.97,47.31,8.3,0.37,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,No Data,,FALSE,Unknown
Johnsons Dam,,,VA101022,,VA101022,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,101022,37.604,-76.8784,Virginia,King William,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,22,,,22,Less than 25 feet,,,,Undetermined,,107,107,,,0.43,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Nelson County Dam #7,125dd039,,VA125021,,VA125021,,Not Listed,Not Listed,0,No,,,,,Virginia,125021,37.7471,-78.7009,Virginia,Nelson,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,29,,,29,25-50 feet,270,,,Undetermined,,64.03,64.03,56.71,5.3,0.74,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,No Data,,FALSE,Unknown
Koolwater Dam,,,VA075044,,VA075044,,Not Listed,Not Listed,0,No,,,,,Virginia,75044,37.7466,-77.9003,Virginia,Goochland,,,trib. Courthouse Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,17,,,17,Less than 25 feet,,,,Undetermined,,114,114,,,0.69,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Amelia County Dam # 19,007dd025,,VA007030,,VA007030,,Not Listed,Not Listed,0,No,,,,,Virginia,7030,37.2855,-78.1439,Virginia,Amelia,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,31,,,31,25-50 feet,400,,,Undetermined,,148.84,148.84,107.1,10.5,0.47,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Craig County Dam #6,04500dd030,,VA045006,,VA045006,,Not Listed,Not Listed,0,No,,,,,Virginia,45006,37.5712,-80.2565,Virginia,Craig,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,10,,,10,Less than 25 feet,175,,,Undetermined,,52.24,52.24,0.85,2.12,0.02,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Cobbs Dam,06700dd062,,VA067025,,VA067025,Andrew Cobbs,Private,Private,0,No,,,,,Virginia,67025,36.8686,-79.7681,Virginia,Franklin,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,30,,,30,25-50 feet,275,,,Undetermined,,60.72,60.72,38,3.8,0.12,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Wrights Millpond Dam,,,VA057013,,VA057013,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,57013,37.8391,-76.9535,Virginia,Essex,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,17,,,17,Less than 25 feet,,,,Undetermined,,133,133,,,0.79,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
London Downs Dam,01900dd194,,VA019095,,VA019095,,Not Listed,Not Listed,,No,,,,,Virginia,19095,37.2973,-79.3012,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,23,,,23,Less than 25 feet,,,,Undetermined,,51.52,51.52,28,3.64,0.26,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Blazer Dam,145dd146,,VA145083,,VA145083,Donald J Blazer Jr,Private,Private,0,No,,,,,Virginia,145083,37.4881,-77.7941,Virginia,Powhatan,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,25,,,25,25-50 feet,450,,,Undetermined,,74.58,74.58,43.2,5.4,0.16,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Cedar Creek Dam,,,VA057014,,VA057014,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,57014,37.7745,-76.7084,Virginia,Essex,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,18,,,18,Less than 25 feet,,,,Undetermined,,119,119,,,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,TRUE,High
Fluvanna County Dam #3,065dd017,,VA065032,,VA065032,,Not Listed,Not Listed,0,No,,,,,Virginia,65032,37.8783,-78.387,Virginia,Fluvanna,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,20,,,20,Less than 25 feet,425,,,Undetermined,,80.24,80.24,53.8,8.4,0.58,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,No Data,,FALSE,Unknown
Amelia County Dam # 7,007dd008,,VA007039,,VA007039,,Not Listed,Not Listed,0,No,,,,,Virginia,7039,37.3583,-78.2022,Virginia,Amelia,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,25,,,25,25-50 feet,415,,,Undetermined,,184.1,184.1,102.4,12.8,0.69,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Ross Hopkins Dam,137dd026,,VA137021,,VA137021,"ROSS, DANIEL",Private,Private,0,No,,,,,Virginia,137021,38.3426,-77.7931,Virginia,Orange,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,27,,,27,25-50 feet,425,,,Undetermined,,42.51,42.51,37,3.7,0.03,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Buckingham County Dam #11,029dd030,,VA029044,,VA029044,,Not Listed,Not Listed,0,No,,,,,Virginia,29044,37.633,-78.2776,Virginia,Buckingham,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,22,,,22,Less than 25 feet,700,,,Undetermined,,211.3,211.3,154.75,19.84,0.71,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Amelia County Dam # 20,007dd028,,VA007032,,VA007032,,Not Listed,Not Listed,0,No,,,,,Virginia,7032,37.2997,-77.9786,Virginia,Amelia,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,29,,,29,25-50 feet,475,,,Undetermined,,107.96,107.96,64.32,6.7,0.11,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Fluvanna County Dam #8,065dd053,,VA065037,,VA065037,,Not Listed,Not Listed,0,No,,,,,Virginia,65037,37.8011,-78.4316,Virginia,Fluvanna,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,23,,,23,Less than 25 feet,350,,,Undetermined,,86.94,86.94,64.86,7.91,0.29,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Ball Dam,033dd115,,VA033117,,VA033117,"Thomas J Ball, Jr.",Private,Private,0,No,,,,,Virginia,33117,38.029,-77.2539,Virginia,Caroline,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,10,,,10,Less than 25 feet,200,,,Undetermined,,81.96,81.96,32.98,13.74,1.9,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Amelia County Dam # 16,007dd021,,VA007027,,VA007027,,Not Listed,Not Listed,0,No,,,,,Virginia,7027,37.3454,-77.9623,Virginia,Amelia,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,23,,,23,Less than 25 feet,370,,,Undetermined,,178,178,73.84,10.4,0.61,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Delaware Properties Dam,,,VA019085,,VA019085,,Not Listed,Not Listed,,No,,,Recreation,Recreation,Virginia,19085,37.2611,-79.3188,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,32,,,32,25-50 feet,,,,Undetermined,,111.62,111.62,57.9,5.91,0.79,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
